Preprocessing
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 23-24 selesai
kej 23-24 done
kej 23-24 done
kejadian 19 - 20 selesai
kej 23-24 selesai
kej 23-24 done
kej 23- 24 selesai 
kejadian 21 - 22 selesai
kej 23 - 24 
kejadian 23 - 24 selesai
kej 23-24 
kej 23-24 
kej 21-22 done
kej 17-22 done
kej 23-24 done
kej 23-24 selesai
kej 21-22 done
kej 21-24 
kej 23-24 done
kej 23-24 done
kej 23-24 
kej 23 - 24 selesai
kej 23-24 done
kej 21-24 done
kej 23-24 done
kej 23-24 done
kej 21 - 24 done
kej 21 - 24 done
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 23-24 done
kej 21-24 done
kej 19-24 done
kej 21-24
kej 15-24 done
kej 23-24 done
kej 23-24 done
kejadian 21-22 done
kejadian 17 - 24 done
kej 25-26 done
kej 25-26 done
kej 25-26 done
kejadian 25-26 selesai
kej 25-26 done
kej 25-26
kej 25-26 done
kej 25-26 done
kej 25-26 done
kej 25-26 done
kej 25- 26 selesai
kej 25-26 done
kejadian 25 - 26 selesai
kej 25-26 done
kej 25-26 done
kej 25 - 26 done
kej 25-26 done
kej 25-26 done
kej 25-26 done
kejadian 25-26 selesai
kej 25-26 selesai
kej 23-26 done
kej 23-26 done
kej 25-26 
kej 25-26 done
kej 25-26 done
kej 25-26 done
kej 25 - 26 done
kejadian 25-26 selesai
kej 25-26 done
kej 25-26 
kej 25-26 done
kej 25-26 
kej 27-28 done
kej 27-28 selesai
kej 27-28 selesai
kej 27-28 selesai
kej 27 -- 28 done
kej 27-28 done
kej 27-28 done
kej 27-28 done
kejadian 27- 28 selesai
kej 27-28
kej 27- 28 selesai
kej 27-28 done
kej 27-28 
kej 27-8 done
kej 25-28 done
kej 27-28 done
kej 27 - 28 done
kej 27-28 done
kej 27-28 done
kej 25 - 28 
kej 27-28 done
kej 27-28 done
kej 25-28 done
kej 27-28 done
kej 25-28 done
kej 27 -- 28 done
kej 25-28 done
kej 27-28 done
kej 27-28 done
kej 27 - 28 selesai
kej 25-26 done
kej 27-28 done
kej 27-28 done
kej 23-26 done
kej 27-28 
kej 27-28 
kej 25-28 done
kej 29- 30 done
kej 27 - 28 selesai
kej 29- 30 selesai
kej 27-30 done
kej 29-30 done
kej 29- 30 done
kej 29-30 selesai
kej 29-30 done
kej 29-30 done
kej 29-30 
kej 29-30 done
kej 29-30 
kej 29-30 done
kej 29-30 done
kejadian 29-30 selesai
kejadian 29 - 30 selesai
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 29- 30 done
kej 29-30 selesai
kej 29 - 30 done
kej 29 - 30 done
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 29 - 30 done
kejadian 25-26 done
kej 29-30 
kej 25-30 done
kejadian 29-30 selesai
kej 29-30 done
kej 29-30 done
kej 29-30 done
kej 27-30 done
kej 27-30 done
kej 31-32 done
kej 31-32 done
kej 31-32 done
kej 31-32 
kej 29-32
kej 31-32 done
kej 31-32 done
kej 31- 32 selesai 
kej 31 - 32 done
kej 31-32 done
kej 31-32 done
kejadian 31-32 done
kej 31-32 done
kej 31-32 done
kej 31-32 done
kejadian 31-32 done
kejadian 31 - 32 selesai
kej 31-32 done
kej 31-32 done
kej 31-32 done
kej 31-32
kej 31 - 32 done
kej 29-32 done
kej 31 - 32 done
kejadian 31 - 32 selesai
kej 31 - 32 done
kej 31-32 selesai
kej 31-32 done
kej 29 - 30 
kej 31-32 done
kej 31-32 done
kejadian 33-34 done
kej 25 - 32 done
kejadian 31-32 done
kejadian 33-34 done
kej 33-34 done
kej 33-34 selesai
kej 31-32 selesai
kej 33-34 done
kej 31-32 done
kej 33-34 done
kej 33-34 done
kej 33-34 done
kej 33-34 done
kej 33- 34 selesai
kej 31-32 
kej 33-34 done
kej 33-34 done
kejadian 33 - 34 selesai
kej 33-34 done
kej 26-30 done
kej 33-34 done
kej 33-34 done
kej 31-32 
kej 33-34 done
kej 33-34 done
kejadian 31-32 done
kej 33-34 done
kej 33 - 34 
kej 33-34 done
kejadian 33-34 selesai
kej 33 - 34 done
kej 33-34 done
kej 33 - 34 done
kej 31-32 done
kej 33-34 done
kej 30-34 done
kej 25-34 done
kej 35-36 done
kej 35-36 done
kej 35-36 done
kej 35-36 done
kej 35 - 36 
kej 35 - 36 selesai
kej 35- 36 selesai 
kej 35-36 selesai
kejadian 35-36 done
kejadian 35 - 36 selesai
kej 35-36 
kej 35-36 done
kej 31-34 done
kej 35-36 done
bu dessy saya sdh sampe kej 32
kej 35-36 done
kej 35-36 done
kej 33-36 
kej 35-36 done
kej 33-34 
kej 35-36 done
kej 35-36 selesai
kej 35-36 done
kej 35-36 done
kejadian 35-36 done
kejadian 35-36 done
kej 35-36 done
kej 33-34 done
kej 33-34
kej 35-36 done
kej 35 - 36 done
kej 33-34 done
jessica kej 34-36 done
kej 31-36 done
kej 35 - 36 done
kej 27-36 done
kej 35-36 done
kej 35 - 36 done
kej 29- 36 done
kej 35-36 done
kej 35-36 done
kej 31-34 done
kej 35-36 done
kej 35-36 
kej 35-36 done
kej 29-35 done
kej 36 done
kej 35 - 36 
kej 33-36 done
kej 37-38 done
kej 37-38 
kej 37-38 
kej 37-38 done
kej 37-38 done
kejadian 37 - 38 selesai
kej 37-38 done
kej 37-38 done
kejadian 37-38 done
kejadian 37-38 done
kej 35-38 done
kejadian 37-38 done
kej 37-38 done
kej 37-38 done
kej 37-38 done
kej 37-38 done
kejadian 37-38 done
kej 37-38 done
kej 37-38 selesai
kej 37-38 done
kejadian 37-38 selesai
kej 37-38 done
kej 37-38 done
kej 37-38 
kej 37 - 38 done
kej 37 - 38 done
kej 37-38 done
kej 37 - 38 selesai
kej 37-38
kej 37-38 
kej 32 37-38 done
kej 37-38 done
kej 37-38 done
kej 37-38 done
kej 37-38 done
kej 37-38 done
kej 39 -40 done
kej 39-40 done
kej 39-40 done
kej 39-40 done
kej 39-40 selesai
kej 39-40 done
kej 39-40 done
kejadian 39 - 40 done
kej 39-40 done
kej 39- 40 selesai 
kej 39-40 done
kej 39-40 done
kej 39-40 done
kej 34-38 done
kej 39-40 done
kej 37 - 38 
kej 37-40 done
kej 39-40 done
kej 39 - 40 done
kej 39 -40 done
kej 39 -40 done
kej 39-40 
kejadian 39-40 selesai
kej 39-40
kej 39-40 done
kej 33-36 39 - 40 done
kej 37 - 40 done
kej 37-40 done
kej 39-40 done
kej 39-40 done
kej 37-38 done
kej 39 - 40 done
kej 39-40 
kej 39-40 done
kej 41-42 done
kej 41- 42 selesai 
kej 41-42 done
kej 41-42 done
kej 41-42 
kej 41-42 done
kej 41-42 
kej 41-42 done
kej 41-42 selesai
kej 39-42 done
kej 41-42 done
kej 41-42 done
kej 39-40 done
kej 41-42 done
kej 37-42 done
kej 41-42 done
kej 33-40 done
kej 41-42 done
kej 41-42 done
kej 41 - 42 
kej 41-42 done
kej 38-42 done
kej 38-42 done
kej 41-42 done
kej 41-42 done
kejadian 41-42 done
kej 41-42 done
kej 41-42 done
kej 41 - 42 done
kej 41-42 done
kej 41-42 done
kejadian 39 - 40 selesai
kejadian 41 - 42 selesai
kej 36-40 done
kej 41-42 done
kej 43-44 done
kejadian 43-44 selesai
kej 41-42 selesai
kej 43-44 done
kej 43-44 done
kej 43-44 done
kej 43-44 done
kej 41-42 done
kej 43-44 done
kej 43-44 done
kej 43- 44 selesai
kej 43-44 done
kej 43-44 done
kej 43-44 
kej 43-44 done
kej 43-44 
kej 43-44 selesai
kej 43-44 
kej 43-44 done
kej 41 - 44 done
kej 39-44 done
kej 43-44 done
kej 43-44 done
kej 43-44 done
kejadian 43-44 done
kej 43-44 done
kej 43-44 done
kej 43-44 done
kej 43-44 done
kej 41-42 
kejadian 43-44 selesai
kej 43-44 done
kej 43 - 44 done
kej 39-44
kej 43-44 done
kej 43-44 done
kej 43 - 44 
kej 39-44 done
kej 41-44 done
kejadian 45-46 selesai
kej 45-46 done
kej 45-46 selesai
kejadian 45-46 done
kej 45-46 done
kej 45-46 
kej 45-46 done
kej 45- 46 selesai
kej 45-46 
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 
kejadian 43 - 44 selesai
kej 45-46 done
kej 45-46 done
kejadian 45 - 46 selesai
kejadian 45-46 selesai
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 done
kejadian 45-46 done
kej 34-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 done
kej 43-44 
kej 45 - 46 selesai
kej 43-46 done
kej 45-46 done
kej 45-46 done
kej 45-46 
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 47-48 
kej 40-46 done
kej 47-48 done
kej 47-48 done
kej 47- 48 selesai 
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 43-46 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 43-44 done
kej 45 - 48 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 45-48 done
kej 47 -48 
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 47-48 done
kej 40-48 done
kej 47-48 done
